ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"LT","EQ","01-Dec-2023","3,109.20","3,129.95","3,197.95","3,121.05","3,184.15","3,190.65","3,180.47","21,12,908","6,72,00,44,602.10","1,44,549","9,51,128","45.02"
"LT","EQ","04-Dec-2023","3,190.65","3,285.00","3,347.55","3,250.00","3,316.05","3,313.55","3,303.15","30,95,974","10,22,64,61,999.60","2,21,889","15,29,641","49.41"
"LT","EQ","05-Dec-2023","3,313.55","3,319.05","3,325.00","3,279.05","3,319.00","3,315.45","3,302.14","16,59,309","5,47,92,77,569.90","1,36,656","11,06,671","66.69"
"LT","EQ","06-Dec-2023","3,315.45","3,330.00","3,401.00","3,321.00","3,387.00","3,392.30","3,368.39","20,57,233","6,92,95,58,413.90","1,53,461","14,16,155","68.84"
"LT","EQ","07-Dec-2023","3,392.30","3,392.30","3,409.90","3,337.05","3,372.00","3,355.60","3,363.60","21,28,823","7,16,05,11,364.30","1,50,669","11,74,373","55.17"
"LT","EQ","08-Dec-2023","3,355.60","3,377.00","3,430.00","3,366.00","3,380.00","3,378.45","3,394.19","24,28,891","8,24,41,26,175.55","1,73,664","12,67,077","52.17"
"LT","EQ","11-Dec-2023","3,378.45","3,377.95","3,405.00","3,360.00","3,381.95","3,385.80","3,381.94","15,34,238","5,18,87,07,144.10","94,181","11,43,527","74.53"
"LT","EQ","12-Dec-2023","3,385.80","3,375.00","3,375.00","3,332.00","3,345.00","3,342.40","3,348.94","18,88,423","6,32,42,22,801.75","1,47,602","13,93,760","73.81"
"LT","EQ","13-Dec-2023","3,342.40","3,352.95","3,410.00","3,346.20","3,395.00","3,399.80","3,378.34","15,09,107","5,09,82,78,098.20","1,11,338","9,75,676","64.65"
"LT","EQ","14-Dec-2023","3,399.80","3,425.95","3,440.00","3,400.10","3,436.00","3,433.10","3,421.15","24,25,646","8,29,84,93,111.00","1,88,077","15,28,266","63.00"
"LT","EQ","15-Dec-2023","3,433.10","3,435.15","3,498.90","3,432.85","3,491.35","3,488.00","3,469.47","26,32,935","9,13,48,80,376.50","1,45,130","16,65,154","63.24"
"LT","EQ","18-Dec-2023","3,488.00","3,496.00","3,506.00","3,466.00","3,486.00","3,491.60","3,479.20","17,67,429","6,14,92,37,941.30","1,12,884","13,14,811","74.39"
"LT","EQ","19-Dec-2023","3,491.60","3,488.95","3,525.00","3,476.05","3,498.10","3,498.95","3,504.81","13,11,700","4,59,72,62,401.70","1,23,795","8,02,334","61.17"
"LT","EQ","20-Dec-2023","3,498.95","3,505.00","3,514.60","3,412.55","3,416.80","3,418.50","3,472.45","18,76,048","6,51,44,83,827.75","1,40,702","12,97,137","69.14"
"LT","EQ","21-Dec-2023","3,418.50","3,390.05","3,439.95","3,333.00","3,438.50","3,424.15","3,382.29","22,92,802","7,75,49,21,287.85","1,59,960","9,53,818","41.60"
"LT","EQ","22-Dec-2023","3,424.15","3,424.00","3,496.00","3,408.60","3,472.00","3,477.95","3,463.59","16,81,707","5,82,47,43,988.10","1,30,843","6,43,518","38.27"
"LT","EQ","26-Dec-2023","3,477.95","3,477.95","3,508.35","3,477.95","3,491.00","3,490.05","3,491.26","10,72,263","3,74,35,53,171.65","89,263","7,10,068","66.22"
"LT","EQ","27-Dec-2023","3,490.05","3,510.00","3,549.00","3,504.15","3,545.00","3,544.00","3,529.80","13,89,266","4,90,38,27,561.50","1,22,452","6,47,305","46.59"
"LT","EQ","28-Dec-2023","3,544.00","3,545.00","3,559.95","3,500.50","3,523.00","3,518.05","3,528.63","33,71,121","11,89,54,33,081.75","1,81,724","24,27,585","72.01"
"LT","EQ","29-Dec-2023","3,518.05","3,531.00","3,540.00","3,495.00","3,520.00","3,526.00","3,517.41","9,68,577","3,40,68,79,763.30","1,06,590","5,12,769","52.94"
"LT","EQ","01-Jan-2024","3,526.00","3,538.00","3,538.00","3,496.05","3,509.10","3,525.45","3,518.05","7,77,080","2,73,38,04,517.85","99,652","4,28,707","55.17"
"LT","EQ","02-Jan-2024","3,525.45","3,525.05","3,525.45","3,432.00","3,440.90","3,438.10","3,455.21","15,11,464","5,22,24,23,704.45","1,99,417","9,69,027","64.11"
"LT","EQ","03-Jan-2024","3,438.10","3,433.00","3,465.85","3,411.60","3,440.00","3,440.35","3,438.35","12,83,859","4,41,43,62,339.55","1,47,403","8,14,620","63.45"
"LT","EQ","04-Jan-2024","3,440.35","3,441.05","3,480.10","3,423.00","3,459.95","3,458.70","3,457.46","16,51,616","5,71,04,00,919.60","1,55,242","9,74,234","58.99"
"LT","EQ","05-Jan-2024","3,458.70","3,464.95","3,555.00","3,460.00","3,548.60","3,521.90","3,497.02","20,69,018","7,23,53,90,724.65","2,11,563","11,23,090","54.28"
"LT","EQ","08-Jan-2024","3,521.90","3,540.00","3,559.95","3,490.00","3,510.00","3,501.10","3,519.92","19,93,855","7,01,82,15,617.00","2,44,999","13,19,026","66.15"
"LT","EQ","09-Jan-2024","3,501.10","3,527.45","3,593.75","3,520.10","3,560.00","3,555.95","3,564.35","18,07,271","6,44,17,43,425.35","1,36,843","9,58,324","53.03"
"LT","EQ","10-Jan-2024","3,555.95","3,549.95","3,558.95","3,520.00","3,548.00","3,545.50","3,537.36","15,34,821","5,42,92,21,814.50","1,01,151","9,56,420","62.31"
"LT","EQ","11-Jan-2024","3,545.50","3,545.50","3,559.55","3,500.55","3,507.00","3,504.85","3,523.56","11,05,348","3,89,47,55,496.85","1,13,992","6,64,576","60.12"
"LT","EQ","12-Jan-2024","3,504.85","3,505.05","3,578.65","3,494.05","3,568.00","3,568.80","3,540.61","17,82,631","6,31,15,96,272.35","1,40,965","9,87,229","55.38"
"LT","EQ","15-Jan-2024","3,568.80","3,576.10","3,605.70","3,538.05","3,546.90","3,543.05","3,565.61","17,83,518","6,35,93,26,466.35","1,38,184","10,86,370","60.91"
"LT","EQ","16-Jan-2024","3,543.05","3,548.00","3,589.00","3,538.00","3,578.00","3,573.50","3,568.44","17,91,818","6,39,39,98,654.80","1,66,759","11,85,193","66.14"
"LT","EQ","17-Jan-2024","3,573.50","3,555.00","3,614.45","3,547.70","3,575.05","3,570.95","3,576.80","26,99,076","9,65,40,42,587.35","1,64,051","16,61,113","61.54"
"LT","EQ","18-Jan-2024","3,570.95","3,570.80","3,616.95","3,525.00","3,603.00","3,596.00","3,592.24","21,48,898","7,71,93,57,081.85","1,83,094","12,69,966","59.10"
"LT","EQ","19-Jan-2024","3,596.00","3,603.00","3,655.85","3,603.00","3,646.00","3,646.00","3,636.43","19,13,923","6,95,98,43,129.05","1,96,916","11,14,564","58.23"
"LT","EQ","20-Jan-2024","3,646.00","3,667.00","3,670.00","3,621.05","3,637.40","3,634.50","3,644.77","4,68,514","1,70,76,27,966.30","52,470","2,22,049","47.39"
"LT","EQ","23-Jan-2024","3,634.50","3,637.60","3,661.35","3,536.20","3,547.00","3,551.00","3,602.16","17,42,142","6,27,54,72,696.80","1,66,563","11,64,704","66.85"
"LT","EQ","24-Jan-2024","3,551.00","3,570.00","3,617.95","3,521.70","3,600.00","3,589.20","3,586.69","37,11,521","13,31,20,62,950.35","1,92,912","27,31,075","73.58"
"LT","BL","25-Jan-2024","2,011.10","3,589.20","3,589.20","3,589.20","3,589.20","3,589.20","3,589.20","2,33,652","83,86,23,758.40","1","-","-"
"LT","EQ","25-Jan-2024","3,589.20","3,599.90","3,618.25","3,564.80","3,584.00","3,593.45","3,594.44","22,06,540","7,93,12,67,641.20","1,64,879","13,68,503","62.02"
"LT","EQ","29-Jan-2024","3,593.45","3,604.00","3,733.85","3,600.10","3,710.00","3,708.00","3,687.07","20,72,982","7,64,32,38,960.10","1,66,432","12,71,712","61.35"
